codepoint,name
2639,white_frowning_face
1F31A,new_moon_with_face
1F31B,first_quarter_moon_with_face
1F31C,last_quarter_moon_with_face
1F31D,full_moon_with_face
1F31E,sun_with_face
1F32C,wind_blowing_face
1F432,dragon_face
1F435,monkey_face
1F43C,panda_face
1F464,bust_in_silhouette
1F465,busts_in_silhouette
1F466,boy
1F467,girl
1F468,man
1F469,woman
1F46E,cop
1F46F,dancers
1F470,bride_with_veil
1F471,person_with_blond_hair
1F472,man_with_gua_pi_mao
1F473,man_with_turban
1F474,older_man
1F475,older_woman
1F476,baby
1F477,construction_worker
1F478,princess
1F479,japanese_ogre
1F47A,japanese_goblin
1F47B,ghost
1F47C,angel
1F47D,alien
1F47E,space_invader
1F47F,imp
1F480,skull
1F481,information_desk_person
1F482,guardsman
1F483,dancer
1F486,massage
1F487,haircut
1F4A9,hankey/poop/shit
1F600,grinning
1F601,grin
1F602,joy
1F603,smiley
1F604,smile
1F605,sweat_smile
1F606,laughing/satisfied
1F607,innocent
1F608,smiling_imp
1F609,wink
1F60A,blush
1F60B,yum
1F60C,relieved
1F60D,heart_eyes
1F60E,sunglasses
1F60F,smirk
1F610,neutral_face
1F611,expressionless
1F612,unamused
1F613,sweat
1F614,pensive
1F615,confused
1F616,confounded
1F617,kissing
1F618,kissing_heart
1F619,kissing_smiling_eyes
1F61A,kissing_closed_eyes
1F61B,stuck_out_tongue
1F61C,stuck_out_tongue_winking_eye
1F61D,stuck_out_tongue_closed_eyes
1F61E,disappointed
1F61F,worried
1F620,angry
1F621,rage
1F622,cry
1F623,persevere
1F624,triumph
1F625,disappointed_relieved
1F626,frowning
1F627,anguished
1F628,fearful
1F629,weary
1F62A,sleepy
1F62B,tired_face
1F62C,grimacing
1F62D,sob
1F62E,open_mouth
1F62F,hushed
1F630,cold_sweat
1F631,scream
1F632,astonished
1F633,flushed
1F634,sleeping
1F635,dizzy_face
1F636,no_mouth
1F637,mask
1F638,smile_cat
1F639,joy_cat
1F63A,smiley_cat
1F63B,heart_eyes_cat
1F63C,smirk_cat
1F63D,kissing_cat
1F63E,pouting_cat
1F63F,crying_cat_face
1F640,scream_cat
1F641,slightly_frowning_face
1F642,slightly_smiling_face
1F643,upside_down_face
1F644,face_with_rolling_eyes
1F645,no_good
1F646,ok_woman
1F647,bow
1F648,see_no_evil
1F649,hear_no_evil
1F64A,speak_no_evil
1F64B,raising_hand
1F64C,raised_hands
1F64D,person_frowning
1F64E,person_with_pouting_face
1F64F,pray
1F910,zipper_mouth_face
1F911,money_mouth_face
1F912,face_with_thermometer
1F913,nerd_face
1F914,thinking_face
1F915,face_with_head_bandage
1F916,robot_face
1F917,hugging_face
1F981,lion_face
1F984,unicorn_face
